bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
4333,,11,9,19,36,18,34,183.56,66.52,5.74,3768,M3.5IIIab,6
7183,,18,59,58,22,48,53,54.32,8.41,6.29,6912,M3.5IIIab,6
1003,16Tau4Eri,3,19,31,-21,45,28,212.09,-56.00,3.69,356,M3.5IIIaCa-1,6
4491,,11,39,50,-16,37,13,279.21,42.93,6.19,6231,M3.5IIIBa0.2Ca1,6
6576,,17,42,4,-50,30,38,341.06,-10.56,6.24,6573,M3+II-III,6
4910,43Del Vir,12,55,36,3,23,51,305.53,66.25,3.38,256,M3+III,6
46,,0,14,28,-7,46,50,96.87,-68.76,5.12,1858,M3+III,6
4807,,12,38,22,1,51,17,295.32,64.53,5.71,3646,M3+IIIbCa0.5,6
2091,35Pi  Aur,5,59,56,45,56,13,166.60,10.94,4.26,670,M3II,6
2967,,7,42,3,14,12,30,205.61,17.51,5.56,3071,M3II-III,6
6257,,16,53,43,-43,3,3,342.46,0.48,5.96,4858,M3II-III,6
2146,,6,6,23,29,30,45,181.78,4.20,6.08,5487,M3II+F7V,6
4362,72    Leo,11,15,12,23,5,44,218.10,67.88,4.63,1038,M3IIb,6
2216,7Eta Gem,6,14,53,22,30,24,188.85,2.52,3.28,232,M3III,6
9089,30    Psc,0,1,58,-6,0,51,91.58,-65.83,4.41,817,M3III,6
7951,3    Aqr,20,47,44,-5,1,40,42.24,-28.09,4.42,825,M3III,6
48,7    Cet,0,14,38,-18,55,58,75.11,-78.23,4.44,836,M3III,6
2766,,7,16,35,-27,52,52,240.58,-7.30,4.64,1044,M3III,6
9064,84Psi Peg,23,57,46,25,8,29,107.85,-36.15,4.66,1086,M3III,6
6815,104    Her,18,11,54,31,24,19,58.20,21.59,4.97,1561,M3III,6
6337,,17,3,8,14,5,31,33.95,30.26,4.98,1573,M3III,6
103,47    Psc,0,28,3,17,53,35,115.10,-44.62,5.06,1732,M3III,6
8850,92Chi Aqr,23,16,51,-7,43,36,69.45,-60.36,5.06,1748,M3III,6
